Assembly Accession	Organism Name	Organism Infraspecific Names Strain	Assembly Stats Total Sequence Length	Assembly Stats Contig N50	Assembly Stats GC Count	Assembly Stats GC Percent
GCA_040637005.1	Streptomyces californicus	NPDC032018	7870658	159915	5713474	72.5
GCA_040637295.1	Streptomyces californicus	NPDC030430	7964587	40212	5782608	72.5
GCA_040641455.1	Streptomyces californicus	NPDC020857	8650161	345450	6263313	72.5
GCA_040641795.1	Streptomyces californicus	NPDC020550	8105252	86529	5881165	72.5
GCA_040644735.1	Streptomyces californicus	NPDC046898	7968788	302533	5787171	72.5
GCA_041014795.1	Streptomyces californicus	DJ09	7729558	7729558	5616614	72.5
GCF_006716135.1	Streptomyces calvus	DSM 41452	7766581	7766581	5631886	72.5
GCF_006782915.1	Streptomyces calvus	T3018	8007858	219061	5797826	72.5
GCF_014138545.1	Streptomyces calvus	DSM 41692	7983969	2740563	5780411	72.5
GCF_014138735.1	Streptomyces calvus	CECT 3271	7943287	335874	5756287	72.5
GCF_014649315.1	Streptomyces calvus	JCM 4326	7946438	294998	5757427	72.5
GCF_041261385.1	Streptomyces calvus	SAI-214	7817412	7712149	5662483	72.5
GCA_006716135.1	Streptomyces calvus	DSM 41452	7766581	7766581	5631886	72.5
GCA_006782915.1	Streptomyces calvus	T3018	8007858	219061	5797826	72.5
GCA_014138545.1	Streptomyces calvus	DSM 41692	7983969	2740563	5780411	72.5
GCA_014138735.1	Streptomyces calvus	CECT 3271	7943287	335874	5756287	72.5
GCA_014649315.1	Streptomyces calvus	JCM 4326	7946438	294998	5757427	72.5
GCA_041261385.1	Streptomyces calvus	SAI-214	7817412	7712149	5662483	72.5
GCF_027625935.1	Streptomyces camelliae	HUAS 2-6	9598041	9319598	6826870	71
GCA_027625935.1	Streptomyces camelliae	HUAS 2-6	9598041	9319598	6826870	71
GCF_014646115.1	Streptomyces camponoticapitis	CGMCC 4.7275	8278499	189922	5832780	70.5
GCA_014646115.1	Streptomyces camponoticapitis	CGMCC 4.7275	8278499	189922	5832780	70.5
GCF_014650735.1	Streptomyces canarius	JCM 4733	10647065	162104	7655065	72
GCA_014650735.1	Streptomyces canarius	JCM 4733	10647065	162104	7655065	72
GCF_014655855.1	Streptomyces candidus	JCM 4629	7307831	365268	5201019	71
GCF_014207445.1	Streptomyces candidus	DSM 40141	7403230	342089	5267275	71
GCA_014207445.1	Streptomyces candidus	DSM 40141	7403230	342089	5267275	71
GCA_014655855.1	Streptomyces candidus	JCM 4629	7307831	365268	5201019	71
GCF_019059395.1	Streptomyces cangkringensis	DSM 41769	11723082	9486182	8328137	71
GCF_039525885.1	Streptomyces cangkringensis	JCM 11444	11671172	94620	8280108	71
GCA_019059395.1	Streptomyces cangkringensis	DSM 41769	11723082	9486182	8328137	71
GCA_039525885.1	Streptomyces cangkringensis	JCM 11444	11671172	94620	8280108	71
GCF_036178885.1	Streptomyces caniferus	NBC_00270	8971606	8848699	6400127	71.5
GCF_009811555.1	Streptomyces caniferus	NBRC 15389	9147309	4890975	6525365	71.5
GCF_036124195.1	Streptomyces caniferus	NBC_00337	8770135	8770135	6262956	71.5
GCF_036167175.1	Streptomyces caniferus	NBC_00314	8944372	8944372	6381818	71.5
GCF_036226425.1	Streptomyces caniferus	NBC_01256	8867118	8867118	6329364	71.5
GCF_039533305.1	Streptomyces caniferus	JCM 6914	9060019	180253	6464822	71.5
GCF_040651275.1	Streptomyces caniferus	NPDC048517	8512291	215869	6090280	71.5
GCF_040704395.1	Streptomyces caniferus	NPDC047327	8961630	86307	6396402	71.5
GCA_009811555.1	Streptomyces caniferus	NBRC 15389	9147309	4890975	6525365	71.5
GCA_036124195.1	Streptomyces caniferus	NBC_00337	8770135	8770135	6262956	71.5
GCA_036167175.1	Streptomyces caniferus	NBC_00314	8944372	8944372	6381818	71.5
GCA_036178885.1	Streptomyces caniferus	NBC_00270	8971606	8848699	6400127	71.5
GCA_036226425.1	Streptomyces caniferus	NBC_01256	8867118	8867118	6329364	71.5
GCA_039533305.1	Streptomyces caniferus	JCM 6914	9060019	180253	6464822	71.5
GCA_040651275.1	Streptomyces caniferus	NPDC048517	8512291	215869	6090280	71.5
GCA_040704395.1	Streptomyces caniferus	NPDC047327	8961630	86307	6396402	71.5
GCF_014852565.2	Streptomyces caniscabiei	ID03-3A	10262635	10262635	7303591	71
GCF_001550315.1	Streptomyces caniscabiei	96-12	10080713	8672	7151498	71
GCF_002155725.1	Streptomyces caniscabiei	NRRL B-2801	10299109	14119	7310123	71
GCF_002155765.1	Streptomyces caniscabiei	NRRL B-24093	9879526	11541	7022989	71
GCF_014852655.1	Streptomyces caniscabiei	ID01-6.2a	10309611	335259	7340765	71
GCF_014930355.1	Streptomyces caniscabiei	ND05-3B	10566220	357152	7533174	71.5
GCF_014930365.1	Streptomyces caniscabiei	NE06-02D	10932736	446049	7791278	71.5
GCF_014930395.1	Streptomyces caniscabiei	ND05-01C	10820426	304957	7713123	71.5
GCF_014930405.1	Streptomyces caniscabiei	NE06-02F	10834619	480712	7723724	71.5
GCF_014930415.1	Streptomyces caniscabiei	ND05-13A	10551849	275622	7525433	71.5
GCF_033792205.1	Streptomyces caniscabiei	TX20-1-4	9988830	518037	7136018	71.5
GCF_033792395.1	Streptomyces caniscabiei	TX07-03E	10734949	16240	7465303	69.5
GCF_033792405.1	Streptomyces caniscabiei	TX07-01D	9892628	564304	7069241	71.5
GCF_033793185.1	Streptomyces caniscabiei	NE20-8-2	10689579	291251	7621125	71.5
GCF_033793205.1	Streptomyces caniscabiei	NE20-5-1	10859131	258753	7740444	71.5
GCF_033793215.1	Streptomyces caniscabiei	NE20-7-2	10631173	364778	7583932	71.5
GCF_033793265.1	Streptomyces caniscabiei	NE20-4-1	10910278	189252	7777363	71.5
GCF_033793285.1	Streptomyces caniscabiei	NE20-1-1	10801227	249170	7700928	71.5
GCF_033794645.1	Streptomyces caniscabiei	ID05-8D	10175831	317124	7252269	71.5
GCF_033794785.1	Streptomyces caniscabiei	ID05-16B	10479887	296368	7459919	71
GCF_033794825.1	Streptomyces caniscabiei	ID05-11E	10360142	357065	7375632	71
GCA_001550315.1	Streptomyces caniscabiei	96-12	10080713	8672	7151498	71
GCA_002155725.1	Streptomyces caniscabiei	NRRL B-2801	10299109	14119	7310123	71
GCA_002155765.1	Streptomyces caniscabiei	NRRL B-24093	9879526	11541	7022989	71
GCA_014852565.2	Streptomyces caniscabiei	ID03-3A	10262635	10262635	7303591	71
GCA_014852655.1	Streptomyces caniscabiei	ID01-6.2a	10309611	335259	7340765	71
GCA_014930355.1	Streptomyces caniscabiei	ND05-3B	10566220	357152	7533174	71.5
GCA_014930365.1	Streptomyces caniscabiei	NE06-02D	10932736	446049	7791278	71.5
GCA_014930395.1	Streptomyces caniscabiei	ND05-01C	10820426	304957	7713123	71.5
GCA_014930405.1	Streptomyces caniscabiei	NE06-02F	10834619	480712	7723724	71.5
GCA_014930415.1	Streptomyces caniscabiei	ND05-13A	10551849	275622	7525433	71.5
GCA_033792205.1	Streptomyces caniscabiei	TX20-1-4	9988830	518037	7136018	71.5
GCA_033792395.1	Streptomyces caniscabiei	TX07-03E	10734949	16240	7465303	69.5
GCA_033792405.1	Streptomyces caniscabiei	TX07-01D	9892628	564304	7069241	71.5
GCA_033793185.1	Streptomyces caniscabiei	NE20-8-2	10689579	291251	7621125	71.5
GCA_033793205.1	Streptomyces caniscabiei	NE20-5-1	10859131	258753	7740444	71.5
GCA_033793215.1	Streptomyces caniscabiei	NE20-7-2	10631173	364778	7583932	71.5
GCA_033793265.1	Streptomyces caniscabiei	NE20-4-1	10910278	189252	7777363	71.5
GCA_033793285.1	Streptomyces caniscabiei	NE20-1-1	10801227	249170	7700928	71.5
GCA_033794645.1	Streptomyces caniscabiei	ID05-8D	10175831	317124	7252269	71.5
GCA_033794785.1	Streptomyces caniscabiei	ID05-16B	10479887	296368	7459919	71
GCA_033794825.1	Streptomyces caniscabiei	ID05-11E	10360142	357065	7375632	71
GCF_036177905.1	Streptomyces canus	NBC_00277	10825738	10691412	7598761	70
GCF_001514045.1	Streptomyces canus	DSM 40275	9844122	218959	6893443	70.5
GCF_001514145.1	Streptomyces canus	DSM 40017	11570753	309626	8108471	70
GCF_026341135.1	Streptomyces canus	NBC_00994	11845801	11744127	8311461	70
GCF_026342455.1	Streptomyces canus	NBC_00231	11169549	1371867	7850640	70.5
GCF_030815415.1	Streptomyces canus	V4I20	10826226	10483798	7604446	70
GCF_030816965.1	Streptomyces canus	B4I3	10658989	10509594	7475500	70
GCF_030817935.1	Streptomyces canus	V4I22	10522161	9577653	7375718	70
GCF_030818105.1	Streptomyces canus	W1I15	10050426	8775145	7061092	70.5
GCF_035918175.1	Streptomyces canus	NBC_01585	11347797	11078578	7965526	70
GCF_036110805.1	Streptomyces canus	NBC_00350	10659249	10435553	7500233	70.5
GCF_036197725.1	Streptomyces canus	NBC_00225	11003475	11003475	7727331	70
GCF_036226545.1	Streptomyces canus	NBC_00710	10812875	10812875	7597765	70.5
GCF_036227285.1	Streptomyces canus	NBC_01475	10907629	10864631	7670779	70.5
GCF_036237135.1	Streptomyces canus	NBC_01360	11497089	11497089	8069955	70
GCF_040611275.1	Streptomyces canus	NPDC002951	10950297	125040	7689866	70
GCF_040612055.1	Streptomyces canus	NPDC006466	10559820	234279	7419632	70.5
GCF_040613795.1	Streptomyces canus	NPDC006210	8959502	98585	6293731	70.5
GCF_040613815.1	Streptomyces canus	NPDC006212	10003904	264227	7024524	70
GCF_040629335.1	Streptomyces canus	NPDC005920	10833786	156069	7606103	70
GCF_040652295.1	Streptomyces canus	NPDC048273	10548022	249546	7407501	70
GCF_040674275.1	Streptomyces canus	NPDC050025	10475560	167497	7367988	70.5
GCF_041435015.1	Streptomyces canus	NBC 00349	10677318	10394168	7509966	70.5
GCA_001514045.1	Streptomyces canus	DSM 40275	9844122	218959	6893443	70.5
GCA_001514145.1	Streptomyces canus	DSM 40017	11570753	309626	8108471	70
GCA_026341135.1	Streptomyces canus	NBC_00994	11845801	11744127	8311461	70
GCA_026342455.1	Streptomyces canus	NBC_00231	11169549	1371867	7850640	70.5
GCA_030815415.1	Streptomyces canus	V4I20	10826226	10483798	7604446	70
GCA_030816965.1	Streptomyces canus	B4I3	10658989	10509594	7475500	70
GCA_030817935.1	Streptomyces canus	V4I22	10522161	9577653	7375718	70
GCA_030818105.1	Streptomyces canus	W1I15	10050426	8775145	7061092	70.5
GCA_035918175.1	Streptomyces canus	NBC_01585	11347797	11078578	7965526	70
GCA_036110805.1	Streptomyces canus	NBC_00350	10659249	10435553	7500233	70.5
GCA_036177905.1	Streptomyces canus	NBC_00277	10825738	10691412	7598761	70
GCA_036197725.1	Streptomyces canus	NBC_00225	11003475	11003475	7727331	70
GCA_036226545.1	Streptomyces canus	NBC_00710	10812875	10812875	7597765	70.5
GCA_036227285.1	Streptomyces canus	NBC_01475	10907629	10864631	7670779	70.5
GCA_036237135.1	Streptomyces canus	NBC_01360	11497089	11497089	8069955	70
GCA_040611275.1	Streptomyces canus	NPDC002951	10950297	125040	7689866	70
GCA_040612055.1	Streptomyces canus	NPDC006466	10559820	234279	7419632	70.5
GCA_040613795.1	Streptomyces canus	NPDC006210	8959502	98585	6293731	70.5
GCA_040613815.1	Streptomyces canus	NPDC006212	10003904	264227	7024524	70
GCA_040629335.1	Streptomyces canus	NPDC005920	10833786	156069	7606103	70
GCA_040652295.1	Streptomyces canus	NPDC048273	10548022	249546	7407501	70
GCA_040674275.1	Streptomyces canus	NPDC050025	10475560	167497	7367988	70.5
GCA_041435015.1	Streptomyces canus	NBC 00349	10677318	10394168	7509966	70.5
GCF_000383615.1	Streptomyces canus 299MFChir4.1	299MFChir4.1	10479972	167116	7369912	70.5
GCA_000383615.1	Streptomyces canus 299MFChir4.1	299MFChir4.1	10479972	167116	7369912	70.5
GCF_007829875.1	Streptomyces capillispiralis	DSM 41695	8432708	8142423	6116166	72.5
GCF_014656315.1	Streptomyces capillispiralis	JCM 5075	8394052	187245	6092097	72.5
GCA_007829875.1	Streptomyces capillispiralis	DSM 41695	8432708	8142423	6116166	72.5
GCA_014656315.1	Streptomyces capillispiralis	JCM 5075	8394052	187245	6092097	72.5
GCF_002214185.1	Streptomyces capitiformicae	1H-SSA4	10989391	5694461	7695324	70
GCF_014653855.1	Streptomyces capitiformicae	CGMCC 4.7403	10755081	144481	7529688	70
GCA_002214185.1	Streptomyces capitiformicae	1H-SSA4	10989391	5694461	7695324	70
GCA_014653855.1	Streptomyces capitiformicae	CGMCC 4.7403	10755081	144481	7529688	70
GCF_014654935.1	Streptomyces capoamus	JCM 4253	8406486	12704	6036563	72
GCF_040492035.1	Streptomyces capoamus	NPDC002240	8215361	128836	5947301	72.5
GCA_014654935.1	Streptomyces capoamus	JCM 4253	8406486	12704	6036563	72
GCA_040492035.1	Streptomyces capoamus	NPDC002240	8215361	128836	5947301	72.5
GCF_000716845.1	Streptomyces capuensis	NRRL B-12337	9329832	178168	6714137	72
GCF_000718295.1	Streptomyces capuensis	NRRL B-3501	9439884	140407	6789831	72
GCA_000716845.1	Streptomyces capuensis	NRRL B-12337	9329832	178168	6714137	72
GCA_000718295.1	Streptomyces capuensis	NRRL B-3501	9439884	140407	6789831	72
GCF_002794255.1	Streptomyces carminius	TRM SA0054	7200897	255411	5267600	73
GCA_002794255.1	Streptomyces carminius	TRM SA0054	7200897	255411	5267600	73
GCF_025133285.1	Streptomyces carpaticus	SCPM-O-B-9993	5968715	5968715	4347647	73
GCF_039533325.1	Streptomyces carpaticus	JCM 6915	6040366	274498	4402466	73
GCF_041950195.1	Streptomyces carpaticus	FH1	5738978	196008	4166653	72.5
GCA_025133285.1	Streptomyces carpaticus	SCPM-O-B-9993	5968715	5968715	4347647	73
GCA_039533325.1	Streptomyces carpaticus	JCM 6915	6040366	274498	4402466	73
GCA_041950195.1	Streptomyces carpaticus	FH1	5738978	196008	4166653	72.5
GCF_002154505.1	Streptomyces carpinensis	NRRL B-16921	10405645	27185	7380302	71
GCA_002154505.1	Streptomyces carpinensis	NRRL B-16921	10405645	27185	7380302	71
GCA_040299915.1	Streptomyces carpinensis	NPDC000634	9693374	5828	6844588	70.5
GCF_030719295.1	Streptomyces castrisilvae	Mut1	7990879	7646342	5733804	72
GCA_030719295.1	Streptomyces castrisilvae	Mut1	7990879	7646342	5733804	72
GCF_000718015.1	Streptomyces catenulae	NRRL B-2342	7046907	174156	5142270	73
GCF_040636875.1	Streptomyces catenulae	NPDC033039	7055268	192704	5148525	73
GCA_000718015.1	Streptomyces catenulae	NRRL B-2342	7046907	174156	5142270	73
GCA_040636875.1	Streptomyces catenulae	NPDC033039	7055268	192704	5148525	73
GCF_029760955.1	Streptomyces cathayae	HUAS 5	7614103	7464554	5426927	71.5
GCA_029760955.1	Streptomyces cathayae	HUAS 5	7614103	7464554	5426927	71.5
GCF_004023625.1	Streptomyces cavernae	SYSU K10008	10446772	226764	7360474	70.5
GCA_004023625.1	Streptomyces cavernae	SYSU K10008	10446772	226764	7360474	70.5
GCF_006788935.1	Streptomyces cavourensis	DSM 41795	7670394	7670394	5532085	72
GCF_002804165.1	Streptomyces cavourensis	1AS2a	7600475	7600475	5482293	72
GCF_003352445.1	Streptomyces cavourensis	TJ430	7613757	7613757	5491386	72
GCF_014649215.1	Streptomyces cavourensis	JCM 4298	7625581	252531	5503945	72
GCF_019798105.1	Streptomyces cavourensis	A54	7549018	499344	5446676	72
GCF_024297125.1	Streptomyces cavourensis	2BA6PG	7651223	7651223	5519279	72
GCF_024365045.1	Streptomyces cavourensis	F2	8041562	7846900	5786719	72
GCF_026642235.1	Streptomyces cavourensis	NA4	7739059	7685966	5577746	72
GCF_030027225.1	Streptomyces cavourensis	YBQ59	8126002	754229	5860000	72
GCA_002804165.1	Streptomyces cavourensis	1AS2a	7600475	7600475	5482293	72
GCA_003352445.1	Streptomyces cavourensis	TJ430	7613757	7613757	5491386	72
GCA_006788935.1	Streptomyces cavourensis	DSM 41795	7670394	7670394	5532085	72
GCA_014649215.1	Streptomyces cavourensis	JCM 4298	7625581	252531	5503945	72
GCA_015904245.1	Streptomyces cavourensis	BUU 135	7657683	4468	5493098	71.5
GCA_019798105.1	Streptomyces cavourensis	A54	7549018	499344	5446676	72
GCA_024297125.1	Streptomyces cavourensis	2BA6PG	7651223	7651223	5519279	72
GCA_024365045.1	Streptomyces cavourensis	F2	8041562	7846900	5786719	72
GCA_026642235.1	Streptomyces cavourensis	NA4	7739059	7685966	5577746	72
GCA_030027225.1	Streptomyces cavourensis	YBQ59	8126002	754229	5860000	72
GCA_040137785.1	Streptomyces cavourensis	60S	8407878	5043880	6030947	71.5
GCF_001513965.1	Streptomyces cellostaticus	DSM 40189	9835283	147351	6950224	71
GCF_023630175.1	Streptomyces cellostaticus	GX14503	7141450	122618	5160612	72.5
GCF_033238585.1	Streptomyces cellostaticus	NBRC 12849	9903810	6225385	7023885	71
GCA_001513965.1	Streptomyces cellostaticus	DSM 40189	9835283	147351	6950224	71
GCA_023630175.1	Streptomyces cellostaticus	GX14503	7141450	122618	5160612	72.5
GCA_033238585.1	Streptomyces cellostaticus	NBRC 12849	9903810	6225385	7023885	71
GCF_035977975.1	Streptomyces celluloflavus	NBC_01299	9247450	9247450	6617980	71.5
GCF_000720995.1	Streptomyces celluloflavus	NRRL B-2493	8676521	181994	6219650	71.5
GCF_040646835.1	Streptomyces celluloflavus	NPDC045119	9178611	132559	6558622	71.5
GCA_000720995.1	Streptomyces celluloflavus	NRRL B-2493	8676521	181994	6219650	71.5
GCA_035977975.1	Streptomyces celluloflavus	NBC_01299	9247450	9247450	6617980	71.5
GCA_040646835.1	Streptomyces celluloflavus	NPDC045119	9178611	132559	6558622	71.5
GCF_000721105.1	Streptomyces cellulosae	NRRL B-2687	10063079	192242	7108144	70.5
GCF_026339705.1	Streptomyces cellulosae	NBC_01681	8448141	6136491	6077546	72
GCA_000721105.1	Streptomyces cellulosae	NRRL B-2687	10063079	192242	7108144	70.5
GCA_026339705.1	Streptomyces cellulosae	NBC_01681	8448141	6136491	6077546	72
GCF_024600715.1	Streptomyces changanensis	HL-66	6900504	6817869	5102305	74
GCA_024600715.1	Streptomyces changanensis	HL-66	6900504	6817869	5102305	74
GCF_008704715.1	Streptomyces chartreusis	ATCC 14922	9912098	9912098	7036715	71
GCF_003048205.2	Streptomyces chartreusis	WZS021	10404130	1174289	7349481	70.5
GCF_013375055.1	Streptomyces chartreusis	NA02069	11234141	11234141	7927795	70.5
GCF_014650315.1	Streptomyces chartreusis	JCM 4570	10088490	716229	7161033	71
GCF_036010565.1	Streptomyces chartreusis	NBC_00215	11080497	11080497	7833021	70.5
GCF_036345055.1	Streptomyces chartreusis	NBC_00590	10297333	10126779	7290235	71
GCF_040613635.1	Streptomyces chartreusis	NPDC006245	9589069	118751	6825156	71
GCF_040630335.1	Streptomyces chartreusis	NPDC005815	10285780	223666	7286912	71
GCF_040644515.1	Streptomyces chartreusis	NPDC046972	9378386	38339	6655445	71
GCF_040650875.1	Streptomyces chartreusis	NPDC048599	10133595	338476	7191519	71
GCF_040653335.1	Streptomyces chartreusis	NPDC047978	10904248	285359	7700096	70.5
GCF_040677035.1	Streptomyces chartreusis	NPDC049395	9300810	840618	6581812	71
GCF_040680835.1	Streptomyces chartreusis	NPDC051965	9980453	464214	7058382	70.5
GCF_040687255.1	Streptomyces chartreusis	NPDC069682	10569922	194007	7473690	70.5
GCF_040687655.1	Streptomyces chartreusis	NPDC056256	10028372	284199	7120269	71
GCA_003048205.2	Streptomyces chartreusis	WZS021	10404130	1174289	7349481	70.5
GCA_008704715.1	Streptomyces chartreusis	ATCC 14922	9912098	9912098	7036715	71
GCA_013375055.1	Streptomyces chartreusis	NA02069	11234141	11234141	7927795	70.5
GCA_014650315.1	Streptomyces chartreusis	JCM 4570	10088490	716229	7161033	71
GCA_036010565.1	Streptomyces chartreusis	NBC_00215	11080497	11080497	7833021	70.5
GCA_036345055.1	Streptomyces chartreusis	NBC_00590	10297333	10126779	7290235	71
GCA_040613635.1	Streptomyces chartreusis	NPDC006245	9589069	118751	6825156	71
GCA_040630335.1	Streptomyces chartreusis	NPDC005815	10285780	223666	7286912	71
GCA_040644515.1	Streptomyces chartreusis	NPDC046972	9378386	38339	6655445	71
GCA_040650875.1	Streptomyces chartreusis	NPDC048599	10133595	338476	7191519	71
GCA_040653335.1	Streptomyces chartreusis	NPDC047978	10904248	285359	7700096	70.5
GCA_040677035.1	Streptomyces chartreusis	NPDC049395	9300810	840618	6581812	71
GCA_040680835.1	Streptomyces chartreusis	NPDC051965	9980453	464214	7058382	70.5
GCA_040687255.1	Streptomyces chartreusis	NPDC069682	10569922	194007	7473690	70.5
GCA_040687655.1	Streptomyces chartreusis	NPDC056256	10028372	284199	7120269	71
GCF_000226455.1	Streptomyces chartreusis NRRL 12338	NRRL 12338	8893692	78086	6316694	71.5
GCA_000226455.1	Streptomyces chartreusis NRRL 12338	NRRL 12338	8893692	78086	6316694	71.5
GCF_000226435.1	Streptomyces chartreusis NRRL 3882	NRRL 3882	9300607	2832		
GCF_900236475.1	Streptomyces chartreusis NRRL 3882		8983317	8983317	6398434	71
GCF_900236505.1	Streptomyces chartreusis NRRL 3882		8983317	8983317	6398434	71
GCA_000226435.1	Streptomyces chartreusis NRRL 3882	NRRL 3882	9300607	2832	6330303	71
GCA_900236475.1	Streptomyces chartreusis NRRL 3882		8983317	8983317	6398434	71
GCA_900236505.1	Streptomyces chartreusis NRRL 3882		8983317	8983317	6398434	71
GCF_001294335.1	Streptomyces chattanoogensis	NRRL ISP-5002	9129105	166063	6472013	71
GCA_001294335.1	Streptomyces chattanoogensis	NRRL ISP-5002	9129105	166063	6472013	71
GCF_030406905.1	Streptomyces chengbuensis	HUAS CB01	8098788	8069256	5838041	72
GCA_030406905.1	Streptomyces chengbuensis	HUAS CB01	8098788	8069256	5838041	72
GCF_029846775.1	Streptomyces chengmaiensis	HNM0663	7967480	127268	5655487	71
GCA_029846775.1	Streptomyces chengmaiensis	HNM0663	7967480	127268	5655487	71
GCF_039529885.1	Streptomyces cheonanensis	JCM 14549	5848275	501107	4264673	73
GCA_039529885.1	Streptomyces cheonanensis	JCM 14549	5848275	501107	4264673	73
GCF_036281785.1	Streptomyces chiangmaiensis	TA4-1	9707984	32937	6769839	69.5
GCF_039536645.1	Streptomyces chiangmaiensis	JCM 16577	10012467	69558	6973573	69.5
GCA_036281785.1	Streptomyces chiangmaiensis	TA4-1	9707984	32937	6769839	69.5
GCA_039536645.1	Streptomyces chiangmaiensis	JCM 16577	10012467	69558	6973573	69.5
GCF_001642695.1	Streptomyces chilikensis	RC 1830	7121774	28865	5203863	73.5
GCF_040652995.1	Streptomyces chilikensis	NPDC048117	7139737	62847	5244414	73.5
GCA_001642695.2	Streptomyces chilikensis	RC 1830	7121774	28865	5203863	73.5
GCA_040652995.1	Streptomyces chilikensis	NPDC048117	7139737	62847	5244414	73.5
GCF_029846675.1	Streptomyces chitinivorans	RC1832	6055792	146088	4427077	73
GCF_039540175.1	Streptomyces chitinivorans	JCM 30611	6186395	194238	4511610	73
GCA_029846675.1	Streptomyces chitinivorans	RC1832	6055792	146088	4427077	73
GCA_039540175.1	Streptomyces chitinivorans	JCM 30611	6186395	194238	4511610	73
GCF_017168205.1	Streptomyces chrestomyceticus	TBRC 1925	9341553	597445	6735646	72
GCF_036562025.1	Streptomyces chrestomyceticus	ADP4	9604038	342769	6926460	72
GCF_040641895.1	Streptomyces chrestomyceticus	NPDC020535	9312502	693272	6711736	72
GCF_040646575.1	Streptomyces chrestomyceticus	NPDC045757	9681386	254010	6980739	72
GCF_040646635.1	Streptomyces chrestomyceticus	NPDC045451	9764307	364232	7036938	72
GCF_040646735.1	Streptomyces chrestomyceticus	NPDC045187	9508822	63174	6841258	72
GCF_040646755.1	Streptomyces chrestomyceticus	NPDC045234	9669789	242754	6970126	72
GCF_041894675.1	Streptomyces chrestomyceticus	GCAL-9	9523413	84471	6867357	72
GCA_017168205.1	Streptomyces chrestomyceticus	TBRC 1925	9341553	597445	6735646	72
GCA_036562025.1	Streptomyces chrestomyceticus	ADP4	9604038	342769	6926460	72
GCA_040641895.1	Streptomyces chrestomyceticus	NPDC020535	9312502	693272	6711736	72
GCA_040646575.1	Streptomyces chrestomyceticus	NPDC045757	9681386	254010	6980739	72
GCA_040646635.1	Streptomyces chrestomyceticus	NPDC045451	9764307	364232	7036938	72
GCA_040646735.1	Streptomyces chrestomyceticus	NPDC045187	9508822	63174	6841258	72
GCA_040646755.1	Streptomyces chrestomyceticus	NPDC045234	9669789	242754	6970126	72
GCA_041894675.1	Streptomyces chrestomyceticus	GCAL-9	9523413	84471	6867357	72
GCF_003865135.1	Streptomyces chrestomyceticus JCM 4735	NBRC 13444	9377418	9377418	6753939	72
GCA_003865135.1	Streptomyces chrestomyceticus JCM 4735	NBRC 13444	9377418	9377418	6753939	72
GCF_015160875.1	Streptomyces chromofuscus	DSM 40273	7483282	7483282	5359045	71.5
GCF_014649435.1	Streptomyces chromofuscus	JCM 4354	8285318	100643	5915903	71.5
GCA_014649435.1	Streptomyces chromofuscus	JCM 4354	8285318	100643	5915903	71.5
GCA_015160875.1	Streptomyces chromofuscus	DSM 40273	7483282	7483282	5359045	71.5
GCF_014650755.1	Streptomyces chryseus	JCM 4737	7154268	229344	5122097	71.5
GCF_005981935.1	Streptomyces chryseus	DSM 40420	7076354	9479	5049079	71.5
GCF_005981965.1	Streptomyces chryseus	DSM 40431	7649555	17998	5448636	71
GCF_014650855.1	Streptomyces chryseus	JCM 4768	7722314	22488	5492451	71.5
GCA_005981935.1	Streptomyces chryseus	DSM 40420	7076354	9479	5049079	71.5
GCA_005981965.1	Streptomyces chryseus	DSM 40431	7649555	17998	5448636	71
GCA_014650755.1	Streptomyces chryseus	JCM 4737	7154268	229344	5122097	71.5
GCA_014650855.1	Streptomyces chryseus	JCM 4768	7722314	22488	5492451	71.5
GCF_014779715.1	Streptomyces chumphonensis	KK1-2	5823549	350958	4269105	73.5
GCF_039543805.1	Streptomyces chumphonensis	JCM 18522	5842659	101066	4276166	73.5
GCA_014779715.1	Streptomyces chumphonensis	KK1-2	5823549	350958	4269105	73.5
GCA_039543805.1	Streptomyces chumphonensis	JCM 18522	5842659	101066	4276166	73.5
GCF_009299385.1	Streptomyces cinereoruber	ATCC 19740	7516652	7516652	5479054	73
GCF_011758705.1	Streptomyces cinereoruber	DSM 41512	7473163	1133104	5449210	73
GCF_014197485.1	Streptomyces cinereoruber	NRRL ISP-5012	7463914	504484	5446140	73
GCF_014649095.1	Streptomyces cinereoruber	JCM 4205	7025760	485455	5132999	73
GCF_019880525.1	Streptomyces cinereoruber	JCM4205	7412226	448283	5411101	73
GCF_040495315.1	Streptomyces cinereoruber	NPDC012723	7271478	492228	5313941	73
GCF_040750195.1	Streptomyces cinereoruber	UTDF22-16-39	7604905	63461	5537464	73
GCA_009299385.1	Streptomyces cinereoruber	ATCC 19740	7516652	7516652	5479054	73
GCA_011758705.1	Streptomyces cinereoruber	DSM 41512	7473163	1133104	5449210	73
GCA_014197485.1	Streptomyces cinereoruber	NRRL ISP-5012	7463914	504484	5446140	73
GCA_014649095.1	Streptomyces cinereoruber	JCM 4205	7025760	485455	5132999	73
GCA_019880525.1	Streptomyces cinereoruber	JCM4205	7412226	448283	5411101	73
GCA_040495315.1	Streptomyces cinereoruber	NPDC012723	7271478	492228	5313941	73
GCA_040750195.1	Streptomyces cinereoruber	UTDF22-16-39	7604905	63461	5537464	73
GCA_039536025.1	Streptomyces cinereospinus	JCM 6917	7895805	7809220	5726739	72.5
GCF_014648635.1	Streptomyces cinerochromogenes	JCM 3385	9098877	354079	6595922	72.5
